the graduate in business management (male)|der Betriebswirt(e)
the graduate in business management (female)|die Betriebswirtin(nen)
the business administration|die Betriebswirtschaft
the bed|das Bett(en)
to bed|ins Bett
to bend|beugen
to bend over (+ case) (reflexive)|sich beugen über (+ acc.)
the booty, loot|die Beute
the population (starts with B-)|Bevölkerung
before (starts with b-) (conj.)|bevor
to guard, watch over (starts with b-)|bewachen
to overcome, cope with; finish|bewältigen
to move (starts with b-) (reflexive)|sich bewegen
the movement (starts with B-)|die Bewegung(en)
the proof (starts with B-)|der Beweis(e)
the (piece of) evidence|das Beweisstück(e)
to apply (for) (has "um" after the word) (starts with b-)|sich bewerben (um)
the application (for) (has "um" after the word) (+ case)|die Bewerbung(en) (um + acc.)
the job interview|das Bewerbungsgespräch(e)
to rate|bewerten
the evaluation, grading|die Bewertung(en)
the inhabitant; resident (starts with B) (male)|der Bewohner(-)
the inhabitant; resident (starts with B) (female)|die Bewohnerin(nen)
cloudy|bewölkt
conscious(ly)|bewusst
the awareness|das Bewusstsein
to pay (for)|bezahlen
to refer to, relate to (+ case) (has "auf" after the word) (starts with b-) (reflexive)|sich beziehen auf (+ acc.)
the relationship (starts with B-)|die Beziehung(en)






























