often (2 words)|a menudo
the leg, foot (hum. applied to person) (starts with p)|la pata
the breast, chest|el pecho
the blow from a stone (being hit by a stone)|la pedrada
to stone to death (3 words)|matar a pedradas
the hailstorm (masculine)|el pedrisco
to comb (starts with p)|peinar
the sugared almond|la peladilla
hairy (masculine)|peludo
hairy (feminine)|peluda
the central rib of leaf too tough to eat|la penca
the earring|el pendiente
the slut, whore (male)|el pendón
the slut, whore (female)|la pendona
to notice; receive, get (starts with p)|percibir
the blast of birdshot/pellets|la perdigonada
the partridge|la perdiz
the pole (candle-lighter)|la pértiga
the nightmare|la pesadilla
the cigarette/cigar case; tobacco pouch|la petaca
axle grease (answer without definite article, from the book: "engrasado en ___")|pez
the mischievous act; rude word (starts with p)|la picardía
the pity; mercy; piety|la piedad
the skin|la piel
the font (holy water source)|la pila
the gut-piercer, belly-puncturer|las pinchatripas
to walk, tread, step (on) (starts with p)|pisar
the seedbed (starts with p)|el plantero
the silver|la plata
the talk, chat; sermon (starts with p)|la plática
the lead|el plomo
to proceed with caution (1st word starts with a)|andar con pies de plomo
the power|el poder
the dust; powder|el polvo
the glass wine jar with long spout|el porrón
false, artificial (starts with p) (masculine)|postizo
false, artificial (starts with p) (feminine)|postiza
last, final (like "postre") (masculine)|postrero
last, final (like "postre") (feminine)|postrera
the colt|el potro
to announce publicly (starts with "pr")|pregonar
the chancel, sancturary (reserved for officiating)|el presbiterio
the convict, prisoner (starts with p) (male)|el presidiario
the convict, prisoner (starts with p) (female)|la presidiaria
the moneylender; pawnbroker (male)|el prestamista
the moneylender; pawnbroker (female)|la prestamista
to deprive (starts with "pr")|privar
the insolence, brazenness|la procacidad
dirty; filthy; disgusting (starts with p) (masculine)|puerco
dirty; filthy; disgusting (starts with p) (feminine)|puerca
the thumb|el pulgar
the handful (starts with p)|el puñado
to complain, protetst; moan, groan (reflexive)|quejarse
to burn (starts with q)|quemar
the door-jamb|el quicio
the radish|el rábano
furiously; madly (starts with r, ends with e)|rabiosamente
cracked; split (starts with "raj") (masculine)|rajado
cracked; split (starts with "raj") (feminine)|rajada
the branch (of a plant/tree)|el ramo
the Palm Sunday|el Domingo de Ramos
the branch (of an organisation) (starts with s)|la sucursal
the rank|el rango
the satin (starts with r)|el raso
to taste sharp; take coating off mouth (starts with r)|raspar
the trail; track (starts with r)|el rastro
shaved, shaven (starts with r) (masculine)|rasurado
shaved, shaven (starts with r) (feminine)|rasurada
the boundary; (a somewhat figurative) line (starts with r)|la raya
the flock; herd (of sheep or goats)|el rebaño
soft in the head; senile (2 words) (starts with r) (masculine)|reblandecido mental
soft in the head; senile (2 words) (starts with r) (feminine)|reblandecida mental
to bounce; rebound; ricochet (starts with r)|rebotar
suspicious, distrustful (starts with r) (masculine)|receloso
suspicious, distrustful (starts with r) (feminine)|recelosa
to resort to; fall back to (starts with r)|recurrir
twirled, curled (of moustache) (starts with r) (masculine)|redondeado
twirled, curled (of moustache) (starts with r) (feminine)|redondeada
round (starts with r) (masculine)|redondo
round (starts with r) (feminine)|redonda
the proverb, saying (a bit like "refrain")|el refrán
endorsed; repeated (starts with "ref") (masculine)|refrendado
endorsed; repeated (starts with "ref") (feminine)|refrendada
to water, irrigate (starts with r)|regar
to search (starts with r)|registrar
to neigh, whinny, snort (starts with r)|relinchar
stuffed (starts with r) (masculine)|relleno
stuffed (starts with r) (feminine)|rellena
to roll up (sleeves, trousers, skirts) (starts with "re")|remangar
the end, tip, top; finishing touch; killing off (starts with r)|el remate
to reprimand; quarrel, fight (starts with "reñ")|reñir
the accused person or (person) under sentence of death; prisoner (male)|el reo
the accused person or (person) under sentence of death; prisoner (female)|la rea
the small guitar; clarinet (starts with r)|el requinto
to slip (up) (starts with r)|resbalar
to save oneself (for) (e.g las perdices) (reflexive)|reservarse
cracked, split (starts with "re") (masculine)|resquebrajado
cracked, split (starts with "re") (feminine)|resquebrajada
paid (starts with "ret") (masculine)|retribuido
paid (starts with "ret") (feminine)|retribuida
to burst; pop (e.g pop a balloon) (starts with r)|reventar
to burst out/split one's sides laughing (3 words)|reventar de risa
to fly about; circle; hover (starts with r)|revolotear
mischievous, naughty; rebellious (a bit like "revolt") (starts with r) (masculine)|revoltoso
mischievous, naughty; rebellious (a bit like "revolt") (starts with r) (feminine)|revoltosa
to pray|rezar
call to urge animals on (can't find this word online) (answer without definite article)|riia
the kidney|el riñón
curled, curly; fluted, ridged (starts with r) (masculine)|rizado
curled, curly; fluted, ridged (starts with r) (feminine)|rizada
the shower; spray; hail (of bullets)|la rociada
to roll; turn, rotate; travel (starts with "ro")|rodar
the rhomb (lozenge-shaped object)|el rombo
the pilgrimage; gathering at local shrine (starts with "ro")|la romería
the pilgrim; the rosemary (starts with "ro") (male)|el romero
the pilgrim (starts with "ro") (female)|la romera
unexpectedly; without warning (2 words) (2nd word starts with "ro")|de rondón
the snore, snoring (starts with r)|el ronquido
the surplice (white church vestment) (starts with r)|el roquete
the frost (starts with "ro")|la rosada
to brush against (starts with "ro")|rozar
broken (starts with r) (masculine)|roto
broken (starts with r) (feminine)|rota
the rumour (starts with "run")|el runrún
the sheet; bed sheet (starts with s)|la sábana
the priest (starts with s)|el sacerdote
the priestess (starts with s)|la sacerdotisa
the verger, sexton|el sacristán
the tabernacle (in which consecrated Host is kept) (starts with s)|el sagrario
salacious, prurient (adjective ends in z)|salaz
to get one's own way (4 words) (1st word is reflexive)|salirse con la suya
the grasshopper (starts with s)|el saltamontes
the quack doctor (starts with s) (male)|el saludador
the quack doctor (starts with s) (female)|la saludadora
to save (someone) (starts with s)|salvar
the condition, proviso (formal) (starts with s)|la salvedad
to bleed|sangrar
the holy oil (starts with s)|el santolio
the anger, wrath (starts with s)|la saña
the tailor (male)|el sastre
the tailor (female)|la sastre
the skirt; petticoat (starts with s)|la saya
greasy; filthy (starts with "se") (masculine)|seboso
greasy; filthy (starts with "se") (feminine)|sebosa
the silk|la seda
to reap, cut, mow, harvest (starts with s)|segar
to sow (starts with s)|sembrar
the seedbed (starts with s)|el semillero
the bosom, breast (starts with s)|el seno
the sign; signal|la señal
to mark; point out (starts with "señ")|señalar
to stand out (reflexive) (starts with "se")|señalarse
the council chamber|el salón de sesión
the century|el siglo
the armhole (starts with s)|la sisa
the soldier (ends in o for male and female) (starts with s) (male)|el soldado
the soldier (ends in o for male and female) (starts with s) (female)|la soldado
the corrosive sublimate (poison)|el solimán
to ring; strike, chime; sound; be talked of; blow (nose) (starts with s)|sonar
the tip-off, denunciation (starts with s)|el soplo
deaf (masculine)|sordo
deaf (feminine)|sorda
the sarcasm, irony (starts with s)|la sorna
slyly; with humorous sarcasm (2 words)|con sorna
the draw, drawing lots|el sorteo
the cassock (church official's long robe) (starts with s)|la sotana
dirty (starts with s) (masculine)|sucio
dirty (starts with s) (feminine)|sucia
to sweat (starts with s)|sudar
the mother-in-law (starts with s)|la suegra
the father-in-law (starts with s)|el suegro
loose (starts with s) (masculine)|suelto
loose (starts with s) (feminine)|suelta
the intercession for soul in Purgatory; sufferage|el sufragio
to hold (down); subject (starts with s)|sujetar
substitute (adjective) (adjective ends in e) (starts with s)|suplente
to whisper, murmur (starts with s)|susurrar
the plank, board (this is feminine here) ("había un camastro de ____s")|la tabla
to click heels (2 words)|juntar talcones
the long, (heel-length) robes (this is a plural word)|las ropas talares
to totter, reel (starts with t) (reflexive)|tambalearse
to cover (up) (starts with t)|tapar
the job, task (starts with "ta")|la tarea
the platform, dais (in front of altar) (starts with t)|la tarima
the ceiling, roof (starts with "tec")|el techo
the roof (starts with "tej")|el tejado
fearsome (adjective ends in e)|temible
the correct humidity of soil for planting (loosely: ideal conditions) (starts with t)|el tempero
to stretch (starts with t)|tender
to listen (3 words) (1st word starts with t)|tender la oreja
the terrain, ground (this entry of the word is masculine) (starts with t)|el terreno
the treasure (starts with t)|el tesoro
the aunt (direct translation); old bag (pej.)|la tía
lukewarm; cool; unenthusiastic (starts with t) (masculine)|tibio
lukewarm; cool; unenthusiastic (starts with t) (feminine)|tibia
the scissors (can be either sing. or plural, this entry of the word is singular)|la tijera
to know on good authority (4 words)|saber de buena tinta
the uncle (direct translation); fellow, guy (fam.)|el tío
to throw; shoot (starts with t)|tirar
the ankle|el tobillo
to touch; to play (mus.); ring; toll; peal|tocar
the curfew (3 words) (1st word starts with t)|el toque de queda
the goblin (starts with t)|el trasgo
the lumber, junk; stage props (starts with "tr")|el trasto
the distance, stretch of the road (starts with "tr")|el trecho
terrible, dreadful; awesome; awful (like "tremendous") (masculine)|tremendo
terrible, dreadful; awesome; awful (like "tremendous") (feminine)|tremenda
the trap, snare; trick, swindle, fraud (starts with "tr")|la trampa
the threshing|la trilla
to play, gambol, romp (starts with "tr")|triscar
lopped off, split (starts with "tr") (masculine)|tronchado
lopped off, split (starts with "tr") (feminine)|tronchada
the mob, crowd, throng; rush, haste (starts with "tro")|el tropel
the gadabout (pejorative bc this is said to Jerónima in a flurry of insults) (female)|la trotona
the piece; fragment, snatch (starts with "tr")|el trozo
the trout|la trucha
the catafalque (starts with tú)|el túmulo
the confusion; mistiness (starts with "tu")|la turbiedad
to address as "tú" (fam.)|tutear
the nails (on fingers and toes)|las uñas
the usage, custom|la usanza
to wander, roam (starts with v)|vagar
the rod (starts with "va")|la vara
the measuring rod, yardstick (4 words) (1st word starts with v)|la vara de medir
the vessel; container (starts with "vasi")|la vasija
the neighbourhood; local community, residents (starts with v)|el vecindario
annoying; insulting, humiliating; degrading (starts with v) (masculine)|vejatorio
annoying; insulting, humiliating; degrading (starts with v) (feminine)|vejatoria
the dressing, bandage (starts with v)|el vendaje
the poison, venom (starts with v)|el veneno
to sniff, smell, get the scent (starts with "ve")|ventear
the executioner; tormentor (starts with v) (male)|el verdugo
the executioner; tormentor (starts with v) (female)|la verduga
the rod, stick (starts with "ve")|la verga
the shame (starts with "ver")|la vergüenza
the grating, grille; railing|la verja
the wart (starts with v)|la verruga
the victim (word and its article are always feminine)|la víctima
the sacrificial victim, scapegoat|la víctima propiciatoria
the wind|el viento
to get the scent (3 words)|tomar el viento
to (keep) watch (over) (a tiny bit like "vigilant")|vigilar
the cruet (Mass water and wine)|la vinajera
the vineyard (this entry of the word is feminine)|la viña
the eve, day/evening before|la víspera
the cheers (starts with v)|los vítores
the display cabinet (starts with v)|la vitrina
blown open (starts with v) (masculine)|volado
blown open (starts with v) (feminine)|volada
the overhanging balconies|los balcones volados
to fly (starts with v)|volar
to peal (of bells) (starts with v)|voltear
to eat; have lunch (the book just says "food" for this one how helpful) (starts with y)|yantar
the mare (starts with y)|la yegua
the anvil|el yunque
the boy, lad (starts with z)|el zagal
the girl, lass (starts with z)|la zagala
the fawning (starts with "zale")|la zalema
the heel; midjet, dwarf (pej.) (answer this as a masculine noun)|el zancajo
the shoe maker, cobbler (male)|el zapatero
the shoe maker, cobbler (female)|la zapatera
the bramble (starts with z)|la zarza
the dregs; trash; bow-legged, bandy (starts with z)|la zurrapa
the alcohol, the drinking (this entry of the word is masculine) (starts with j)|el jarro
the bell peppers (american), the peppers (british)|los pimientos
the olive (starts with o)|la oliva
the last rites|la extremaunción
the obscenity|la obscenidad
the meaning|el sentido
(it's just as well); luckily; it's a good job; thank god! (2 words)|menos mal
affable; good-natured, sociable (adjective ends in e)|afable
bigshot (answer without article)|Cabarrús
irreverent, disrespectful (adjective ends in e)|irreverente
to take in|acoger
to contribute (starts with "ap")|aportar
to support (starts with "ap")|apoyar
to risk (oneself) (reflexive)|arriesgarse
the political asylum|el asilo político
the boom|el auge
to look for|buscar
to report|denunciar
the human rights|los derechos humanos
adrift|a la deriva
the collapse|el derrumbe
to waste (starts with d)|despilfarrar
the boat (starts with e)|la embarcación
to push|empujar
to enrich|enriquecer
the lack, scarcity (starts with e)|la escasez
to choose (starts with "es")|escoger
the hope|la esperanza
the foreigner (male)|el extranjero
the foreigner (female)|la extranjera
the brain drain|la fuga de cerebros
to earn a living (3 words) (reflexive)|ganarse la vida
to need (2 words 1st word starts with h)|hacer falta
to find (starts with h)|hallar
the hospitality sector|la hostelería
the equality|la igualdad
the illegal immigrant (male)|el inmigrante irregular
the illegal immigrant (female)|la inmigrante irregular
to retire (reflexive)|jubilarse
the workforce|la mano de obra
to provide for|mantener a
to leave (starts with m) (reflexive)|marcharse
the black market|el mercado sumergido
to suffer (starts with p)|padecer
to pay taxes|pagar impuestos
a host country|un país receptor
the small boat|la patera
the work permit|el permiso de trabajo
the residency permit|el permiso de residencia
to head to (3 words)|poner rumbo a
the spokesman|el portavoz
the spokeswoman|la portavoz
coming from (2 words 2nd word is de)|procedente de
to take away (starts with q)|quitar
to carry out (starts with r)|realizar
to take refuge (reflexive)|refugiarse
the refugee (male)|el refugiado
the refugee (female)|la refugiada
to return (starts with "reg")|regresar
to rescue|rescatar
the social security|la seguridad social
to survive (starts with s)|sobrevivir
the birth rate (4 words)|la tasa de natalidad
to relocate/to move (starts with t) (reflexive)|trasladarse
the wall/border (starts with v)|la valla
despite (3 words)|a pesar de
to have just (done something)|acabar de
to show gratitude for, to thank|agradecer
to feed|alimentar
to yearn|anhelar
the ancestry|la ascendencia
the quality of life (1st word starts with c)|la calidad de vida
to change|cambiar
the census|el censo
the citizenship|la ciudadanía
the colonies|las colonias
to share (starts with c)|compartir
to live with|convivir
to grow up (also "to grow")|crecer
to leave (starts with d)|dejar
the destination|el destino
to spread (starts with d)|difundir
to lead, to head (starts with d)|dirigir
the stability|la estabilidad
to break out (starts with e)|estallar
the lack of (starts with f)|la falta de
the training (starts with f)|la formación
to earn (starts with g)|ganar
the war (starts with g not "guerra")|la guerrilla
the hunger|la hambre
to flee (starts with h)|huir
to increase (starts with i)|incrementar
the links with|los lazos con
the freedom|la libertad
to make ends meet|llegar a fin de mes
to fight (starts with L)|luchar
to improve|mejorar
the spanish-speaking world|el mundo hispánico
to be born|nacer
wave/surge/flood of (3 words starts with o)|la oleada de
to stay (starts with p)|permanecer
to try your luck|probar suerte
the post/position (starts with p)|el puesto
to strengthen/to reinforce|reforzar
to live (starts with r)|residir
to return (starts with "ret")|retornar
the Castro revolution|la revolución castrista
the wealth|la riqueza
to save (starts with s)|salvar
to carry on/to follow|seguir
to highlight (starts with "se")|señalar
the European Union|la Unión Europea
to travel (starts with v)|viajar
to camp out|acampar
to accept/to embrace, take in|acoger
to go deep into (starts with "ad")|adentrar
to drown (reflexive)|ahogarse
to arrest (starts with "ap")|apresar
the support (starts with "arra")|el arraigo
the arrival|el arribo
the legal advice|el asesoramiento jurídico
native (starts with a) (masculine)|autóctono
native (starts with a) (feminine)|autóctona
to help (starts with "au")|auxiliar
to fall (starts with c)|caer
the refugee centre|el centro de asistencia
to get (starts with c)|conseguir
the smuggler (male)|el contrabandista
the smuggler (female)|la contrabandista
to cross|cruzar
to look after|cuidar
to deport|deportar
the rights|los derechos
to discover|descubrir
to arrest (starts with d)|detener
to register (starts with e)|empadronar
to head/to lead (starts with e)|encabezar
the straits (of gibraltar)|el estrecho
to avoid (starts with "eva")|evadir
to die (starts with f)|fallecer
to sign|firmar
the civil servant (male)|el funcionario
the civil servant (female)|la funcionaria
to hit|golpear
to shout|gritar
injured person (male)|el herido
injured person (female)|la herida
to sink|hundir
the immigrants without any documents/papers|los indocumentados
to enter (starts with i)|ingresar
to invest|invertir
to achieve (starts with L)|lograr
nevertheless|no obstante
western (adjective ends in "al")|occidental
to pay|pagar
the native population (last word starts with "au")|la población autóctona
the poverty|la pobreza
the policy (or the politics)|la política
to start, to set in motion (3 words)|poner en marcha
the press|la prensa
the GDP|el producto interior bruto
to resort to|recurrir
to legalise (starts with r)|regularizar
the remittances|las remesas
the risk|el riesgo
the survivor (male)|el sobreviviente
the survivor (female)|la sobreviviente
suspicious (starts with s) (masculine)|sospechoso
suspicious (starts with s) (feminine)|sospechosa
the rate of|la tasa de
to land (2 words 1st word starts with t)|tocar tierra
the trafficker (male)|el traficante
the trafficker (female)|la traficante
to process (paperwork)|tramitar
to carry (starts with "tran")|transportar
to move (starts with "tras")|trasladar
the treatment/the agreement|el trato
the journey (starts with "trav")|la travesía
the journey (starts with "tray")|el trayecto
the threshold|el umbral
to get together (starts with u) (reflexive)|unirse
to bully, to harass|acosar
to act|actuar
to attack, to assault|agredir
the attacker (male)|el agresor
the attacker (female)|la agresora
to encourage (starts with "al")|alentar
to threaten|amenazar
shocked (starts with "an") (masculine)|anonadado
shocked (starts with "an") (feminine)|anonadada
to stab|apuñalar
the weapon|el arma
to astonish, to amaze (starts with "as")|asombrar
to disgust|asquear
to frighten (starts with "as")|asustar
the slap|la bofetada
xenophobic outbreak|el brote xenófobo
to make fun of|burlarse de
the slum dweller (male)|el chabolista
the slum dweller (female)|la chabolista
the behaviour (starts with com)|el comportamiento
to behave (starts with c) (reflexive)|comportarse
the behaviour (starts with "con")|la conducta
to set an example (2 words)|dar ejemplo
to slap somebody (3 words)|dar un manotazo
narrow minded|de mente cerrada
the hate crime|el delito de odio
to discourage|desalentar
the push|el empujón
to get angry (starts with "enf") (reflexive)|enfadarse
the confrontation|el enfrentamiento
to face, to confront (has a after the word) (reflexive)|enfrentarse a
to sing racist chants|entonar cantos racistas
to stereotype|estereotipar
to expel|expulsar
the gesture|el gesto
to hit|golpear
to record (starts with "gr")|grabar
the grandstand|la grada
to shout|gritar
the football fan (male)|el hincha
the football fan (female)|la hincha
jewish (masculine)|judío
jewish (feminine)|judía
the thief (male)|el ladrón
the thief (female)|la ladrona
to beg (starts with m)|mendigar
the muslim|el musulmán
to suffer (starts with p)|padecer
to beg (starts with p, 2 words)|pedir limosna
to come from (starts with "proc")|proceder de
to reject|rechazar
to laugh at (reflexive)|reírse de
to reproach|reprochar
the stir/disturbance|el revuelo
to save (someone) (starts with s)|salvar
to be witness to (3 words)|ser testigo de
to surprise (starts with s)|sorprender
the suffering (starts with s)|el sufrimiento
to fear|temer
to offend, to insult (starts with u)|ultrajar
to value|valorar
shameful (starts with v) (masculine)|vergonzoso
shameful (starts with v) (feminine)|vergonzosa
to link, to connect|vincular
to tackle|abordar
to welcome|acoger
to put up with, to tolerate|aguantar
to reach|alcanzar
the field (starts with á)|el ámbito
to encourage someone|animar a
to announce/to advertise (starts with "an")|anunciar
to applaud|aplaudir
to support|apoyar
to warn (starts with "av")|avisar
the warning|el aviso
two yearly|bienal
the CCTV camera|la cámara de vigilancia
the poster|el cartel
blind (masculine)|ciego
blind (feminine)|ciega
to combat (starts with "com")|combatir
to make aware (starts with c)|concienciar
to become aware (reflexive)|concienciarse
to debate|debatir
the challenge (starts with d)|el desafío
disabled (starts with d) (masculine)|discapacitado
disabled (starts with d) (feminine)|discapacitada
to eradicate|erradicar
limited/scarce (masculine)|escaso
limited/scarce (feminine)|escasa
to make an effort (starts with e) (reflexive)|esforzarse
the show (starts with e)|el espectáculo
to label (starts with e)|etiquetar
to exclude|excluir
to express rejection|expresar el rechazo
leaflet|el folleto
to encourage something (starts with f)|fomentar
to make an effort (starts with h 3 words)|hacer un esfuerzo
to impose|imponer
to launch a campaign|lanzar una campaña
the slogan (starts with L)|el lema
to protest (starts with "man") (reflexive)|manifestarse
the measure|la medida
to make aware, mentally prepare (starts with m)|mentalizar
to deserve|merecer
the goal (starts with m)|la meta
to mix with one another (reflexive)|mezclarse
disabled (starts with m) (masculine)|minusválido
disabled (starts with m) (feminine)|minusválida
to put together a campaign|montar una campaña
the NGO|la ONG
the banner (starts with p)|la pancarta
the profile|el perfil
the graffiti|las pintadas
the spokesman|el portavoz
the spokeswoman|la portavoz
to pay attention|prestar atención
to promote (starts with "promov")|promover
to provide with|proporcionar
to recriminate|recriminar
the (short) story (starts with r)|el relato
to repatriate|repatriar
to support (starts with r)|respaldar
to restrict (starts with "res")|restringir
awareness (starts with s)|la sensibilización
to make aware (starts with s)|sensibilizar
deaf (masculine)|sordo
deaf (feminine)|sorda
to overcome (starts with s)|superar
the lead singer (male)|el vocalista
the lead singer (female)|la vocalista
to approach (reflexive)|acercarse
alarming (adjective ends in e)|alarmante
to get further away (from) (reflexive)|alejarse
the quarrel, altercation|el altercado
the warning, eprimand (starts with "am")|la amonestación
the criminal record|los antecedentes penales
the house arrest|el arresto domiciliario
skinhead|la cabeza rapada
the life sentence|la cadena perpetua
the prison|la cárcel
the identity card (4 words)|el carnet de identidad
to punish|castigar
to grant (starts with c)|conceder
the (criminal) sentence (starts with "con")|la condena
to sentence, to condemn|condenar
the alcohol test|el control de alcoholemia
the crime rate|la criminalidad
to criminalise|criminalizar
to beat (3 words)|dar/propinar una paliza
the crime (starts with "delin")|la delincuencia
the criminal, delinquent (male)|el delincuente
the criminal, delinquent (female)|la delincuente
to commit a crime (starts with "deli")|delinquir
the crime (starts with d)|el delito
to get rid of (starts with d 2 words) (reflexive)|deshacerse de
the arrest|la detención
to apologise (starts with d) (reflexive)|disculparse
to disclose, make public (starts with "di")|divulgar
to jail|encarcelar
chilling (adjective ends in e)|escalofriante
the hooligan (male)|el gamberro
the hooligan (female)|la gamberra
to guarantee|garantizar
to stop (starts with "im")|impedir
the compensation (starts with i)|la indemnización
to compensate (starts with i)|indemnizar
the minor offence|la infracción leve
the judge (male)|el juez
the judge (female)|la jueza
the court/tribunal (starts with j)|el juzgado
to judge|juzgar
to fine (1 word)|multar
to refuse to (reflexive)|negarse a
to force (starts with o)|obligar
the restraining order|la orden de alejamiento
to apologise (2 words)|pedir disculpas
the death penalty|la pena de muerte
to penalise|penalizar
to harm/to be detrimental (starts with p)|perjudicar
to give a fine (3 words)|poner una multa
the benefits (starts with p)|las prestaciones
ban, prohibition|la prohibición
to ban, to prohibit|prohibir
on purpose|a propósito
to remove, take away (starts with q)|quitar
to fine, sanction|sancionar
to sentence (starts with s)|sentenciar
to be aware of (3 words)|ser consciente de
to bear in mind (3 words)|tener en cuenta
the harassment/poor treatment|las vejaciones
throughout (4 words) (1st word starts with a)|a lo largo de
welcoming (masculine)|acogedor
welcoming (feminine)|acogedora
from alicante (masculine)|alicantino
from alicante (feminine)|alicantina
the ceasefire|el alto el fuego
the threat|la amenaza
peaceful (adjective ends in e) (starts with a)|apacible
deep-rooted, entrenched (masculine)|arraigado
deep-rooted, entrenched (feminine)|arraigada
self-government|el autogobierno
the political wing|el brazo político
to lack (2 words starts with c)|carecer de
to confer|conferir
the belief|la creencia
in fact|de hecho
to weaken|debilitar
the challenge (starts with d)|el desafío
uninhabited (masculine)|deshabitado
uninhabited (feminine)|deshabitada
the site, location, summons (to appear in court) (starts with e)|el emplazamiento
to shut away|encerrar
to enlarge (starts with e)|engrandecer
to enrich|enriquecer
to come into force (a law)|entrar en vigor
to school, to teach, provide regular schooling|escolarizar
state (adjective form)|estatal
to stigmatise|estigmatizar
to strengthen (starts with f)|fortalecer
to fail (starts with "fra")|fracasar
appropriate, fit, ideal (starts with i) (masculine)|idóneo
appropriate, fit, ideal (starts with i) (feminine)|idónea
the nature/kind (starts with í)|la índole
to encourage/to induce|inducir a
to register (reflexive) (starts with i)|inscribirse
inclusive (masculine ends in r) (masculine)|integrador
inclusive (feminine ends in "ra") (feminine)|integradora
retired (masculine)|jubilado
retired (feminine)|jubilada
to retire (reflexive)|jubilarse
the legacy (starts with L)|el legado
the coast (starts with L)|el litoral
the mix|la mezcla
to mould|moldear
the moor (person) (male)|el moro
the moor (person) (female)|la mora
from orihuela (masculine)|oriolano
from orihuela (feminine)|oriolana
the roll/register|el padrón
paradoxically|paradójicamente
the supporter (starts with p) (male)|el partidario
the supporter (starts with p) (female)|la partidaria
full (starts with p) (masculine)|pleno
full (starts with p) (feminine)|plena
appreciated (starts with p) (masculine)|preciado
appreciated (starts with p) (feminine)|preciada
to prevail|prevalecer
to predominate (starts with "pri")|primar
comes from|procedente de
to provide (starts with "pro")|proporcionar
the people|el pueblo
to reject|rechazar
spread, distributed (starts with r) (masculine)|repartido
spread, distributed (starts with r) (feminine)|repartida
to restrict|restringir
the political persuasion|el signo político
the workshop|el taller
to tend to|tender a
to bring|traer
verifiable (adjective ends in e)|verificable
the housing (starts with v)|la vivienda
to get close, to approach (reflexive) (starts with "ac")|acercarse
to harass, to bully (starts with a)|acosar
to attack (starts with "ag")|agredir
the mayor (male)|el alcalde
the mayor (female)|la alcaldesa
to bet on|apostar por
to appreciate (like the english word)|apreciar
the learning|el aprendizaje
the asylum|el asilo
the groups (starts with b)|las bandas
the surgeon (male)|el cirujano
the surgeon (female)|la cirujana
to condemn|condenar
to trust (starts with c)|confiar
combination/outfit/music group (starts with "con")|el conjunto
to convince|convencer
to run the risk|correr el riesgo
second hand|de segunda mano
the right (to do something)|el derecho
the MP (male)|el diputado
the MP (female)|la diputada
to set off for (reflexive)|dirigirse a
to reduce (starts with "dis")|disminuir
the dominicans|los dominicanos
to destroy (3 words)|echar por tierra
to choose (starts with "es")|escoger
to avoid (starts with "evi")|evitar
the success|el éxito
foreign (masculine)|extranjero
foreign (feminine)|extranjera
the failure|el fracaso
the thumps|los golpes
the guatemalans|los guatemaltecos
to pay attention to (3 words starts with h)|hacer caso a
humble (adjective ends in e)|humilde
together (plural) (masculine)|juntos
together (plural) (feminine)|juntas
the godmother|la madrina
to enroll (reflexive) (starts with m)|matricularse
the myth|el mito
the level|el nivel
the chest (anatomy)|el pecho
to damage (starts with p)|perjudicar
to remain (starts with p)|permanecer
the politicians (male)|los políticos
the politicians (female)|las políticas
to put a stop to (3 words) (last word is "a")|poner remedio a
the puerto ricans|los puertoriqueños
to complain (reflexive)|quejarse
the rage|la rabia
to lower|rebajar
to remember (starts with r)|recordar
the performance; efficiency; output, capacity; yield (monetary return) (starts with r)|el rendimiento
to delay (starts with r)|retrasar
the salvadorians|los salvadoreños
to kidnap|secuestrar
to feel (emotions) (reflexive)|sentirse
to request (starts with s)|solicitar
to underline (starts with "su")|subrayar
the luck|la suerte
to bear in mind|tener en cuenta
the fortune telling (like "divination")|la adivinación
clinging (starts with a) (masculine)|aferrado
clinging (starts with a) (feminine)|aferrada
the scope/area/environment/field (starts with á)|el ámbito
the wide range|la amplia gama
the apostasy|la apostasía
leant on, leaning on (masculine)|apoyado en
leant on, leaning on (feminine)|apoyada en
to hurry (refelxive) (starts with a)|apresuarse
harmoniously (adjective ends in e)|armónicamente
the fasting|el ayuno
the witch|la bruja
the witchcraft|la brujería
the burst of laughter|la carcajada
the candle (starts with c)|el cirio
committed to (has "a" after the word) (masculine)|comprometido a
committed to (has "a" after the word) (feminine)|comprometida a
the convert (masculine)|el converso
the convert (feminine)|la conversa
to convene (starts with "con")|convocar
the religion (starts with c)|el culto
facing (3 words)|de cara a
the deity|la deidad
the deviation|la desviación
to deviate|desviar
to double (starts with "du")|duplicar
prominent (starts with e) (masculine)|emblemático
prominent (starts with e) (feminine)|emblemática
to establish, start something, begin something (starts with "en")|entablar
to hand over (starts with e)|entregar
the ladder|la escalera
the scorn (starts with e)|el escarnio
to spit (starts with e)|escupir
to show off clothes, wear them for the first time|estrenar
to experience|experimentar
the façade|la fachada
to pretend (starts with f)|fingir
to attend, to frequent (a place) (starts with f)|frecuentar
the spring (place name) (starts with F)|la Fuentecilla
to gain ground|ganar terreno
the heretic (male)|el hereje
the heretic (female)|la hereje
the boost (starts with i)|el impulso
to institute|instituir
to succeed (starts with l)|lograr
the order (starts with m)|el mandato
to hinder, hamper, obstruct (starts with o)|obstaculizar
the hit from a stone (starts with pe)|la pedrada
to pursue/to prosecute|perseguir
the firecracker (starts with p)|el petardo
to try (in a case)|procesar
related to (masculine)|relacionado con
related to (feminine)|relacionada con
unusual (starts with s)|singular
the noose|la soga
the magic, sorcery|el sortilegio
the fabric (starts with t)|el tejido
the witness (male)|el testigo
the witness (female)|la testigo
to shiver (starts with "ti")|tiritar
the court (starts with t)|el tribunal
the score (of 20)|la veintena
to defeat (starts with v)|vencer
to monitor|vigilar
